CÓDIGO;REFERÊNCIA;DESCRIÇÃO;NCM;UN;REFERÊNCIAS;EST.;APL.;RES.;VENDA;MÉDIO;VENDA;CUSTO;SETOR;RUA;BLOCO;ANDAR
2451;LUB-MS1710;PETRONAS AKCELA P. ANTI-FREEZE (6X4L);38200000;UN;76471K13BR,LUB-MS1710,247684,6.9129,9900000006242,000000000000397942,1190T,0120000051;0;0;0;368,78;119,329537;0;62,29;CHAO07;;;
89418;ALT-LUB MS10W-30;PETRONAS ARBOR MTF 10W-30 1X20L;27101932;UN;ALT-LUB MS10W-30,77002,103000291;0;0;0;824,75;298,359688;0;0;;;;
88120;ALT-LUB-MS1205;PETRONAS ARBOR MULTI FX 20W-30 1X20L;27101932;UN;13796,77013;5;0;0;668,77;332,8246;3343,85;1664,12;LUB-04;;;
90715;LUB-MS1120NEXPRO;PETRONAS ENGINE OIL CH-4;27101932;BD;74549R61BR,74559R61BR,LUB-MS1120NEXPRO;2;0;0;618,84;252,75551;1237,68;505,51;LUB-20;;;
2436;LUB-MS1216NEXPRO;PETRONAS HIDRAULIC HX;27101932;BAL;76496R61BR,LUB-MS1216NEXPRO;1;0;0;468,6;210,271667;468,6;210,27;LUB-05;;;
87649;77101;PETRONAS HYDRAULIC 68 1X20L;27101932;UN;77101;0;0;0;681,1;257,337882;0;0;LUB-17;;;
2438;LUB-MS131685W140NEXPRO;PETRONAS TRANSMISSION 85W140;27101932;BAL;76501R61BR,LUB-MS131685W140NEXPRO,9900000005658;2;0;0;707,61;336,287369;1415,22;672,57;LUB-08;;;
2437;LUB-MS1205NEXPRO;PETRONAS TRANSMISSION THF;27101932;BAL;LUB-MS1205NEXPRO,76502R61BR,1323T;0;0;0;579,7;281,567412;0;0;;;;
88114;ALT-LUB-MS 85W140;PETRONAS TUTELA 300 EP 85W-140 1X20L;27101932;UN;247680,4157,1325T,99782,0120000164;0;0;0;796,06;443,698869;0;0;;;;
88113;ALT-LUB-MS1216;PETRONAS TUTELA AGM 68 1X20L;27101931;UN;78035R61BR,77246;0;0;0;470,53;214,7748;0;0;GARANTIA;;;
92745;LUB-MS 1710;PETRONAS TUTELA AGRIFLU (4L);38200000;UN;77414K13BR,25663;0;0;0;176,33;130,79398;0;0;CHAO06;;;
88115;ALT-LUB-MS 15W40;PETRONAS URANIA 3000 SE 15W40 1X20L;27101932;UN;77416,99;0;0;0;659,79;299,817939;0;0;;;;
97856;77430EY9BR;TUTELA 75 MD GREASE 1KG;27101932;UN;77430EY9BR;63;7;19;77,78;51,25945;4900,14;3229,35;CHAO 14;;;
100239;77412K13BR;TUTELA ACTIFULL OT (6X4L);38200000;UN;77412K13BR,176;31;4;3;240,76;157,227448;7463,56;4874,05;CHAO08;;;
97840;81046R61BR;TUTELA HYDROSYSTEM 46 HV NT ( 20 L );27101932;UN;81046R61BR;26;6;2;822,44;554,97209;21383,44;14429,27;LUB-18;;;
97839;81045R61BR;TUTELA HYDROSYSTEM 68 AW;27101932;UN;81045R61BR;36;3;9;621,47;425,749597;22372,92;15326,99;LUB-07;;;
97339;81047R61BR;TUTELA HYDROSYSTEM 68 HV NT;27101932;BD;81047R61BR;16;0;0;711,92;463,116009;11390,72;7409,86;LUB-06;;;
98127;81048R61BR;TUTELA HYPOIDE EP 80W-90 NT;27101932;UN;76266K13BR,81048R61BR;10;1;0;739,75;492,843174;7397,5;4928,43;LUB-17;;;
98131;81050R61BR;TUTELA HYPOIDE EP 85W-140 NT;27101932;UN;81050R61BR;13;0;0;845,85;560,744592;10996,05;7289,68;LUB-19;;;
97835;81049R61BR;TUTELA HYPOIDE EP LS 80W-90 NT;27101932;BD;81049R61BR;13;1;0;1179,1;790,097639;15328,3;10271,27;LUB-16;;;
107793;81232N41BR;TUTELA MULTIPURP GR-9 GREASE NT 10KG;27101932;UN;81232N41BR;4;0;0;493,28;333,285;1973,12;1333,14;GRAXA;;;
97836;81064R61BR;TUTELA TRANSAXLE FLUID 20W-40;27101932;BD;81064R61BR;9;0;0;888,43;607,284603;7995,87;5465,56;LUB-15;;;
98121;81065R61BR;TUTELA TRANSAXLE FLUID 80W140;27101932;UN;81065R61BR;24;5;6;1152,42;756,402707;27658,08;18153,66;LUB-12;;;
106784;81065K13BR;TUTELA TRANSAXLE FLUID 80W140 (4 LTS);27101932;UN;81065K13BR;23;5;4;237,39;155,859795;5459,97;3584,78;CHAO 07;;;
112440;ALT-E157649A1;BORDA CORTANTE REV;84314200;UN;35985,74431;0;0;0;3065,67;1900;0;0;;;;
87667;ALT-71401325;BUCHA BRONZE RG;84314929;UN;RC000101263;4;0;0;385;55,0725;1540;220,29;DEPOSITO;;;
108031;ALT-73125534;BUCHA DE ACO;73182900;UN;RC000110133;0;0;0;361,11;201,855;0;0;;;;
87668;ALT-87724783;BUZINA 24VTS;87085019;UN;RC000123610;1;0;0;275;69,75;275;69,75;DEP01;;;
107769;ALT-70684837;COXIM DO CHASSI;38122000;UN;RC000096411;0;0;0;122,29;0;0;0;;;;
97167;ALT- 90419555;DISTRIBUIDOR ROTATIVO;84314929;UN;RC000110229;0;0;0;18556,85;11500,93;0;0;;;;
2207;103310A1;103310A1-DISCO EMBREAGEM;84839000;UN;103310A1;0;0;0;12,85;7,287083;0;17,83;19A02;;;
1009;10517271;10517271-ARRUELA TRAVA SPR 16 HVY C7;73182100;PC;10517271;0;0;0;0,27;0,14519;0;1,17;05B06;;;
1006;10520221;10520221-ARRUELA LISA DE ACO 16;73182100;UN;10520221;0;0;0;1,01;0,154483;0;0,45;06B08;;;
5150;11087976;11087976-ANEL TRAVA;73182900;UN;11087976;3;0;0;7,07;4,718;21,21;14,15;2E+12;;;
4815;121-104;121-104-PARAFUSO CONV TORQUE;73181500;UN;121-104;0;0;0;23,98;13,60375;0;11,09;11B11;;;
961;12164121;12164121-PORCA SEXT M16-ZND-ACO LIGA;73181600;UN;12164121;0;0;0;2,68;1,786667;0;0;06B14;;;
4634;128376A1;128376A1-ANEL DE BORRACHA;40169300;UN;128376A1;1;0;0;0,62;0,425;0,62;0,43;02H24;;;
4941;141-11;141-11-PINO EM ACO MEDIO CARBONO S;73181500;UN;141-11;0;0;0;11,38;6,453333;0;3,94;11C12;;;
4157;ALT-14144790;14144790-LAMPADA 24V-21/5W-2 POLOS;85392910;UN;ALT-14144790,1453,PH12499;0;0;0;1,71;0,88;0;0,72;28B06;;;
5803;ALT-14148290;14148290-LAMPADA ELETRICA 24V-21W 1-;85392190;UN;ALT-14148290;0;0;0;3,09;1,7525;0;1,42;28F05;;;
5151;145381A1;145381A1 - ESPACADOR;73182900;UN;145381A1;0;0;0;0,27;0,15;0;0,04;06A24;;;
5581;145872A1;145872A1-CABO DE ACO DO AFOGADOR (PU;84314929;UN;145872A1;0;0;0;150;47,3;0;0;15C04;;;
4896;146002A1;146002A1-PARAFUSO CARC. DIFERENC.;73181500;UN;146002A1;0;0;0;15,6;8,85;0;0,9;02H21;;;
5043;146051A1;146051A1-ARRUELA EIXO CONJ.ENCOSTO;73182100;UN;146051A1;0;0;0;12,87;6,634;0;3,38;20F18;;;
4793;146056A1;146056A1-PINO TRAVA EIXO CONJ.;73170090;UN;146056A1;0;0;0;33,02;18,73;0;1,91;100A16;;;
4895;146060A1;146060A1-PARAFUSO EIXO CONJ.;73181500;UN;146060A1;0;0;0;1,07;0,61;0;0,06;02B12;;;
4736;146103A1;146103A1-DECAL W20E DIANTEIRO;49089000;UN;146103A1;0;0;0;27,5;15,6;0;1,59;22A11;;;
2879;146109A1;146109A1-DECAL CASE LE;49089000;UN;146109A1;0;0;0;26,62;15,11;0;1,53;09D01;;;
5044;146139A1;146139A1-ARRUELA ENCOS.DIFERENCIAL;73182100;UN;146139A1;0;0;0;5,14;2,91375;0;2,37;04B11;;;
5589;146183A1;146183A1-EIXO ENGREN. EIXO CONJ.;84314929;UN;146183A1;0;0;0;449,17;268,16;0;0;;;;
5587;146229A1;146229A1-FORQUILHA - CONTR. CONV.;84314929;UN;146229A1;0;0;0;22,32;13,95;0;0;;;;
691;146232A1;146232A1-VIDRO TRAS. ROPS;70071100;UN;146232A1;0;0;0;305,62;191,01;0;0;VID 07;;;
4448;146443A1;146443A1-MANGUEIRA - BBA. A VALV.;40094290;UN;146443A1;0;0;0;125,86;71,51;0;0;23F02;;;
5541;146618A1;146618A1-TUBO - CONJ. SIST. TRANSM;84314929;UN;146618A1;0;0;0;61,4;34,89;0;0;13C04;;;
3338;146680A1;146680A1-ANEL TRAVA LIMP.PARABRISA;73182900;UN;146680A1;0;0;0;8,69;4,4825;0;1,83;12F13;;;
3342;147038A1;147038A1-CALCO DE ACO 3,0MM;73182900;UN;147038A1;0;0;0;5,17;2,67;0;1,08;02G42;;;
5201;147059A1;147059A1-ESPACADOR DE ACO DA TORRE D;73182900;UN;147059A1;0;0;0;5,9;3,04;0;0,31;;;;
5476;147150A1;147150A1 - ANEL ATD;73182900;UN;147150A1;0;0;0;2,38;1,35;0;0;20B12;;;
5675;147523A1;147523A1-BUCHA PISTAO COMPRESSOR;84833090;UN;147523A1;0;0;0;43,01;26,88;0;0;100C09;;;
5036;147524A1;147524A1-BUJAO DE ACO DA CABECA DO C;73181900;UN;147524A1;0;0;0;1,71;0,973333;0;0,29;10000000000;;;
4574;147525A1;147525A1-ANEL O-RING DE BORRACHA TAM;40169300;UN;147525A1;0;0;0;4,88;2,77;0;0,28;100F01;;;
2705;147539A1;147539A1-JUNTA DE BORRACHA DA TAMPA;40169300;UN;147539A1;0;0;0;1,47;0,835;0;0,17;11B19;;;
5406;147543A1;147543A1-TAMPA CABECOTE COMPRESSOR;84149039;UN;147543A1;0;0;0;143,25;89,53;0;0;02C27;;;
4866;147614A1;147614A1-PINO TRAVA - SEMI-EIXO;73181500;UN;147614A1;0;0;0;5,5;3,12;0;0,32;;;;
2227;ALT-148963A1;148963A1 DISCO SINTERIZADO EIXO CASE;84839000;UN;ALT-148963A1,67881;0;0;0;28,07;14,473333;0;4,43;27000000;;;
4797;148974A1;148974A1 - PARAFUSO;73181500;UN;148974A1;0;0;0;0,77;0,435;0;0,54;06I10;;;
